Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
 44.02      1.51     1.51  8983530     0.00     0.00  stride::ContactPool::SortMembers()
 12.24      1.93     0.42      102     0.00     0.00  stride::Population::GetInfectedCount() const
  7.29      2.18     0.25  8983530     0.00     0.00  stride::Infector<(stride::ContactLogMode::Id)1, false, true>::Exec(stride::ContactPool&, stride::AgeContactProfile const&, stride::TransmissionProfile const&, stride::ContactHandler&, unsigned short, std::shared_ptr<spdlog::logger>)
  5.25      2.36     0.18 25038250     0.00     0.00  stride::Person::Update(bool, bool, bool)
  4.52      2.52     0.16 20982772     0.00     0.00  std::_Function_handler<double (), std::_Bind<trng::uniform01_dist<double> (std::reference_wrapper<pcg_detail::engine<unsigned long, unsigned __int128, pcg_detail::xsl_rr_mixin<unsigned long, unsigned __int128>, false, pcg_detail::specific_stream<unsigned __int128>, pcg_detail::default_multiplier<unsigned __int128> > >)> >::_M_invoke(std::_Any_data const&)
  2.92      2.62     0.10        1     0.10     0.11  geopop::K12SchoolPopulator::Apply(std::shared_ptr<geopop::GeoGrid>, geopop::GeoGridConfig const&)
  2.62      2.71     0.09        1     0.09     0.12  geopop::CollegePopulator::Apply(std::shared_ptr<geopop::GeoGrid>, geopop::GeoGridConfig const&)
  2.04      2.78     0.07 25038250     0.00     0.00  stride::Health::Update()
  1.75      2.84     0.06      327     0.00     0.00  geopop::WorkplacePopulator::CalculateCommutingLocations()
  1.75      2.90     0.06        1     0.06     0.07  geopop::PrimaryCommunityPopulator::Apply(std::shared_ptr<geopop::GeoGrid>, geopop::GeoGridConfig const&)
  1.75      2.96     0.06        1     0.06     0.07  geopop::SecondaryCommunityPopulator::Apply(std::shared_ptr<geopop::GeoGrid>, geopop::GeoGridConfig const&)
  1.75      3.02     0.06        1     0.06     0.06  stride::Immunizer::Random(stride::util::SegmentedVector<stride::ContactPool, 512ul, true> const&, std::vector<double, std::allocator<double> >&, double)
  1.46      3.07     0.05       50     0.00     0.04  stride::Sim::TimeStep()
  1.17      3.11     0.04        1     0.04     0.06  geopop::HouseholdPopulator::Apply(std::shared_ptr<geopop::GeoGrid>, geopop::GeoGridConfig const&)
  1.17      3.15     0.04        1     0.04     0.15  geopop::WorkplacePopulator::Apply(std::shared_ptr<geopop::GeoGrid>, geopop::GeoGridConfig const&)
  1.17      3.19     0.04        1     0.04     0.05  stride::HealthSeeder::Seed(std::shared_ptr<stride::Population> const&, std::vector<stride::ContactHandler, std::allocator<stride::ContactHandler> >&)
  0.87      3.22     0.03   992481     0.00     0.00  geopop::Populator::MakeChoice(double)
  0.87      3.25     0.03  9538071     0.00     0.00  std::_Sp_counted_base<(__gnu_cxx::_Lock_policy)2>::_M_release()
  0.58      3.27     0.02   500765     0.00     0.00  stride::Population::CreatePerson(unsigned int, double, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int)
