Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
 60.40     17.20    17.20 107937779     0.00     0.00  stride::ContactPool::SortMembers()
 18.02     22.33     5.13     1002     0.01     0.01  stride::Population::GetInfectedCount() const
  6.50     24.18     1.85 300068000     0.00     0.00  stride::Person::Update(bool, bool, bool)
  3.25     25.10     0.93 107937779     0.00     0.00  stride::Infector<(stride::ContactLogMode::Id)1, false, true>::Exec(stride::ContactPool&, stride::AgeContactProfile const&, stride::TransmissionProfile const&, stride::ContactHandler&, unsigned short, std::shared_ptr<spdlog::logger>)
  2.88     25.92     0.82      500     0.00     0.04  stride::Sim::TimeStep()
  1.84     26.45     0.53 300068000     0.00     0.00  stride::Health::Update()
  1.84     26.97     0.53 108604886     0.00     0.00  std::_Sp_counted_base<(__gnu_cxx::_Lock_policy)2>::_M_release()
  1.25     27.33     0.36 66487944     0.00     0.00  std::_Function_handler<double (), std::_Bind<trng::uniform01_dist<double> (std::reference_wrapper<pcg_detail::engine<unsigned long, unsigned __int128, pcg_detail::xsl_rr_mixin<unsigned long, unsigned __int128>, false, pcg_detail::specific_stream<unsigned __int128>, pcg_detail::default_multiplier<unsigned __int128> > >)> >::_M_invoke(std::_Any_data const&)
  0.60     27.50     0.17        1     0.17     0.18  geopop::CollegePopulator::Apply(std::shared_ptr<geopop::GeoGrid>, geopop::GeoGridConfig const&)
  0.39     27.61     0.11        1     0.11     0.11  stride::Immunizer::Random(stride::util::SegmentedVector<stride::ContactPool, 512ul, true> const&, std::vector<double, std::allocator<double> >&, double)
  0.35     27.71     0.10        1     0.10     0.11  geopop::K12SchoolPopulator::Apply(std::shared_ptr<geopop::GeoGrid>, geopop::GeoGridConfig const&)
  0.32     27.80     0.09        1     0.09     0.10  geopop::HouseholdPopulator::Apply(std::shared_ptr<geopop::GeoGrid>, geopop::GeoGridConfig const&)
  0.21     27.86     0.06        1     0.06     0.07  geopop::PrimaryCommunityPopulator::Apply(std::shared_ptr<geopop::GeoGrid>, geopop::GeoGridConfig const&)
  0.18     27.91     0.05      327     0.00     0.00  geopop::WorkplacePopulator::CalculateCommutingLocations()
  0.18     27.96     0.05        1     0.05     0.15  geopop::WorkplacePopulator::Apply(std::shared_ptr<geopop::GeoGrid>, geopop::GeoGridConfig const&)
  0.16     28.00     0.05        1     0.05     0.23  stride::SimBuilder::Build(std::shared_ptr<stride::Sim>, std::shared_ptr<stride::Population>)
  0.14     28.04     0.04        1     0.04     0.06  geopop::SecondaryCommunityPopulator::Apply(std::shared_ptr<geopop::GeoGrid>, geopop::GeoGridConfig const&)
  0.14     28.08     0.04        1     0.04     0.05  stride::HealthSeeder::Seed(std::shared_ptr<stride::Population> const&, std::vector<stride::ContactHandler, std::allocator<stride::ContactHandler> >&)
  0.12     28.12     0.04  2267869     0.00     0.00  stride::ContactPool::AddMember(stride::Person*)
  0.11     28.15     0.03  1574758     0.00     0.00  std::_Function_handler<int (), std::_Bind<trng::discrete_dist (std::reference_wrapper<pcg_detail::engine<unsigned long, unsigned __int128, pcg_detail::xsl_rr_mixin<unsigned long, unsigned __int128>, false, pcg_detail::specific_stream<unsigned __int128>, pcg_detail::default_multiplier<unsigned __int128> > >)> >::_M_invoke(std::_Any_data const&)
  0.11     28.18     0.03   584252     0.00     0.00  fmt::BasicFormatter<char, fmt::ArgFormatter<char> >::format(char const*&, fmt::internal::Arg const&)
  0.07     28.20     0.02    95973     0.00     0.00  stride::ContactType::ToString[abi:cxx11](stride::ContactType::Id)
  0.07     28.22     0.02        1     0.02     0.02  geopop::CommutesCSVReader::FillGeoGrid(std::shared_ptr<geopop::GeoGrid>) const
  0.07     28.24     0.02                             stride::output::SummaryFile::Print(boost::property_tree::basic_ptree<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::less<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > > const&, unsigned int, unsigned int, double, unsigned int, unsigned int)
  0.05     28.25     0.02    97722     0.00     0.00  spdlog::logger::_sink_it(spdlog::details::log_msg&)
  0.04     28.26     0.01  1857196     0.00     0.00  char& std::vector<char, std::allocator<char> >::emplace_back<char>(char&&)
  0.04     28.27     0.01  1190218     0.00     0.00  geopop::Populator::MakeChoice(double)
  0.04     28.28     0.01   304483     0.00     0.00  geopop::WorkplacePopulator::AssignActive(stride::Person*)
  0.04     28.29     0.01   290160     0.00     0.00  void fmt::BasicWriter<char>::write_int<unsigned int, fmt::FormatSpec>(unsigned int, fmt::FormatSpec)
  0.04     28.30     0.01   230095     0.00     0.00  stride::ContactPool::ContactPool(unsigned long, stride::ContactType::Id)
  0.04     28.31     0.01   195425     0.00     0.00  fmt::BasicWriter<char>::write(fmt::BasicCStringRef<char>, fmt::ArgList)
  0.04     28.32     0.01   195425     0.00     0.00  fmt::BasicFormatter<char, fmt::ArgFormatter<char> >::format(fmt::BasicCStringRef<char>)
  0.04     28.33     0.01   193144     0.00     0.00  void fmt::BasicWriter<char>::write_double<double, fmt::FormatSpec>(double, fmt::FormatSpec const&)
  0.04     28.34     0.01   109436     0.00     0.00  geopop::kd::Node<geopop::geogrid_detail::KdTree2DPoint, 0ul>::BorrowSplitChild(geopop::geogrid_detail::KdTree2DPoint const&) const
  0.04     28.35     0.01    99736     0.00     0.00  void boost::property_tree::detail::rapidxml::xml_document<char>::parse_node_contents<3136>(char*&, boost::property_tree::detail::rapidxml::xml_node<char>*)
  0.04     28.36     0.01    96865     0.00     0.00  void std::vector<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::allocator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > >::_M_realloc_insert<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >(__gnu_cxx::__normal_iterator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >*, std::vector<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::allocator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > > >, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >&&)
  0.04     28.37     0.01     9555     0.00     0.00  void std::vector<std::shared_ptr<geopop::ContactCenter>, std::allocator<std::shared_ptr<geopop::ContactCenter> > >::_M_realloc_insert<std::shared_ptr<geopop::ContactCenter> >(__gnu_cxx::__normal_iterator<std::shared_ptr<geopop::ContactCenter>*, std::vector<std::shared_ptr<geopop::ContactCenter>, std::allocator<std::shared_ptr<geopop::ContactCenter> > > >, std::shared_ptr<geopop::ContactCenter>&&)
  0.04     28.38     0.01      327     0.00     0.00  geopop::Location::GetOutgoingCommuterCount(double) const
  0.04     28.39     0.01      327     0.00     0.00  std::vector<stride::ContactPool*, std::allocator<stride::ContactPool*> > geopop::Populator::GetNearbyPools<geopop::SecondaryCommunity>(std::shared_ptr<geopop::GeoGrid> const&, std::shared_ptr<geopop::Location> const&, double) const
  0.04     28.40     0.01        4     0.00     0.00  std::_Rb_tree<stride::ContactPool*, stride::ContactPool*, std::_Identity<stride::ContactPool*>, std::less<stride::ContactPool*>, std::allocator<stride::ContactPool*> >::_M_erase(std::_Rb_tree_node<stride::ContactPool*>*)
  0.04     28.41     0.01        1     0.01     0.03  geopop::HouseholdGenerator::Apply(std::shared_ptr<geopop::GeoGrid>, geopop::GeoGridConfig const&, unsigned int&)
  0.02     28.42     0.01    97177     0.00     0.00  spdlog::sinks::rotating_file_sink<std::mutex>::_sink_it(spdlog::details::log_msg const&)
  0.02     28.42     0.01    95967     0.00     0.00  void spdlog::logger::log<unsigned int, unsigned int, double, double, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, unsigned short>(spdlog::level::level_enum, char const*, unsigned int const&, unsigned int const&, double const&, double const&, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&, unsigned short const&)
  0.02     28.43     0.01    83774     0.00     0.00  geopop::kd::Node<geopop::geogrid_detail::KdTree2DPoint, 0ul>::GetPoint() const
  0.02     28.43     0.01      500     0.00     0.00  spdlog::sinks::rotating_file_sink<std::mutex>::_flush()
  0.02     28.44     0.01      500     0.00     0.00  std::_Sp_counted_ptr_inplace<stride::DaysOffStandard, std::allocator<stride::DaysOffStandard>, (__gnu_cxx::_Lock_policy)2>::_M_dispose()
  0.02     28.44     0.01                             spdlog::sinks::simple_file_sink<spdlog::details::null_mutex>::_flush()
  0.02     28.45     0.01                             spdlog::sinks::rotating_file_sink<std::mutex>::_rotate()
  0.02     28.45     0.01                             spdlog::logger::_default_err_handler(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&)
  0.02     28.46     0.01                             stride::Health::StopInfection()
  0.02     28.46     0.01                             std::_Function_handler<bool (geopop::geogrid_detail::KdTree2DPoint const&), geopop::KdTree<geopop::geogrid_detail::KdTree2DPoint>::Contains(geopop::geogrid_detail::KdTree2DPoint const&) const::{lambda(geopop::geogrid_detail::KdTree2DPoint const&)#1}>::_M_invoke(std::_Any_data const&, geopop::geogrid_detail::KdTree2DPoint const&)
  0.02     28.47     0.01                             std::_Sp_counted_ptr_inplace<stride::DaysOffStandard, std::allocator<stride::DaysOffStandard>, (__gnu_cxx::_Lock_policy)2>::~_Sp_counted_ptr_inplace()
  0.02     28.47     0.01                             std::unique_ptr<spdlog::details::flag_formatter, std::default_delete<spdlog::details::flag_formatter> >& std::vector<std::unique_ptr<spdlog::details::flag_formatter, std::default_delete<spdlog::details::flag_formatter> >, std::allocator<std::unique_ptr<spdlog::details::flag_formatter, std::default_delete<spdlog::details::flag_formatter> > > >::emplace_back<std::unique_ptr<spdlog::details::flag_formatter, std::default_delete<spdlog::details::flag_formatter> > >(std::unique_ptr<spdlog::details::flag_formatter, std::default_delete<spdlog::details::flag_formatter> >&&)
  0.00     28.47     0.00  1447448     0.00     0.00  std::_Function_handler<int (), std::_Bind<trng::uniform_int_dist (std::reference_wrapper<pcg_detail::engine<unsigned long, unsigned __int128, pcg_detail::xsl_rr_mixin<unsigned long, unsigned __int128>, false, pcg_detail::specific_stream<unsigned __int128>, pcg_detail::default_multiplier<unsigned __int128> > >)> >::_M_invoke(std::_Any_data const&)
  0.00     28.47     0.00  1226351     0.00     0.00  stride::Health::Health(unsigned short, unsigned short, unsigned short, unsigned short)
  0.00     28.47     0.00  1190865     0.00     0.00  std::_Function_base::_Base_manager<std::_Bind<trng::discrete_dist (std::reference_wrapper<pcg_detail::engine<unsigned long, unsigned __int128, pcg_detail::xsl_rr_mixin<unsigned long, unsigned __int128>, false, pcg_detail::specific_stream<unsigned __int128>, pcg_detail::default_multiplier<unsigned __int128> > >)> >::_M_manager(std::_Any_data&, std::_Any_data const&, std::_Manager_operation)
  0.00     28.47     0.00   782442     0.00     0.00  void fmt::Buffer<char>::append<char>(char const*, char const*)
  0.00     28.47     0.00   774971     0.00     0.00  __tcf_0
  0.00     28.47     0.00   600136     0.00     0.00  stride::Population::CreatePerson(unsigned int, double, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int)
  0.00     28.47     0.00   584252     0.00     0.00  fmt::BasicFormatter<char, fmt::ArgFormatter<char> >::parse_arg_index(char const*&)
  0.00     28.47     0.00   371311     0.00     0.00  __tcf_0
  0.00     28.47     0.00   299307     0.00     0.00  boost::property_tree::basic_ptree<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::less<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > >::~basic_ptree()
  0.00     28.47     0.00   299301     0.00     0.00  boost::property_tree::basic_ptree<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::less<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > >::basic_ptree(boost::property_tree::basic_ptree<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::less<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > > const&)
  0.00     28.47     0.00   295067     0.00     0.00  char* fmt::BasicWriter<char>::prepare_int_buffer<fmt::FormatSpec>(unsigned int, fmt::FormatSpec const&, char const*, unsigned int)
  0.00     28.47     0.00   265725     0.00     0.00  std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > stride::util::ToString<unsigned int>(unsigned int const&)
  0.00     28.47     0.00   257933     0.00     0.00  std::__detail::_Map_base<std::type_index, std::pair<std::type_index const, std::vector<std::shared_ptr<geopop::ContactCenter>, std::allocator<std::shared_ptr<geopop::ContactCenter> > > >, std::allocator<std::pair<std::type_index const, std::vector<std::shared_ptr<geopop::ContactCenter>, std::allocator<std::shared_ptr<geopop::ContactCenter> > > > >, std::__detail::_Select1st, std::equal_to<std::type_index>, std::hash<std::type_index>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Prime_rehash_policy, std::__detail::_Hashtable_traits<false, false, true>, true>::operator[](std::type_index&&)
  0.00     28.47     0.00   250992     0.00     0.00  std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > stride::util::CSVRow::GetValue<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >(unsigned long) const
  0.00     28.47     0.00   224519     0.00     0.00  boost::detail::function::function_obj_invoker2<boost::algorithm::detail::token_finderF<boost::algorithm::detail::is_any_ofF<char> >, boost::iterator_range<__gnu_cxx::__normal_iterator<char const*, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > >, __gnu_cxx::__normal_iterator<char const*, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >, __gnu_cxx::__normal_iterator<char const*, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > >::invoke(boost::detail::function::function_buffer&, __gnu_cxx::__normal_iterator<char const*, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >, __gnu_cxx::__normal_iterator<char const*, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >)
  0.00     28.47     0.00   224519     0.00     0.00  __gnu_cxx::__normal_iterator<char const*, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > std::__find_if<__gnu_cxx::__normal_iterator<char const*, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >, __gnu_cxx::__ops::_Iter_pred<boost::algorithm::detail::is_any_ofF<char> > >(__gnu_cxx::__normal_iterator<char const*, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >, __gnu_cxx::__normal_iterator<char const*, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >, __gnu_cxx::__ops::_Iter_pred<boost::algorithm::detail::is_any_ofF<char> >, std::random_access_iterator_tag)
  0.00     28.47     0.00   221329     0.00     0.00  geopop::GeoGrid::CreateContactPool(stride::ContactType::Id)
  0.00     28.47     0.00   221329     0.00     0.00  stride::Population::CreateContactPool(stride::ContactType::Id)
  0.00     28.47     0.00   201679     0.00     0.00  geopop::Household::Fill(geopop::GeoGridConfig const&, std::shared_ptr<geopop::GeoGrid> const&)
  0.00     28.47     0.00   197790     0.00     0.00  void std::shuffle<__gnu_cxx::__normal_iterator<unsigned int*, std::vector<unsigned int, std::allocator<unsigned int> > >, pcg_detail::engine<unsigned long, unsigned __int128, pcg_detail::xsl_rr_mixin<unsigned long, unsigned __int128>, false, pcg_detail::specific_stream<unsigned __int128>, pcg_detail::default_multiplier<unsigned __int128> >&>(__gnu_cxx::__normal_iterator<unsigned int*, std::vector<unsigned int, std::allocator<unsigned int> > >, __gnu_cxx::__normal_iterator<unsigned int*, std::vector<unsigned int, std::allocator<unsigned int> > >, pcg_detail::engine<unsigned long, unsigned __int128, pcg_detail::xsl_rr_mixin<unsigned long, unsigned __int128>, false, pcg_detail::specific_stream<unsigned __int128>, pcg_detail::default_multiplier<unsigned __int128> >&)
  0.00     28.47     0.00   121774     0.00     0.00  std::char_traits<char>::compare(char const*, char const*, unsigned long)
  0.00     28.47     0.00   113112     0.00     0.00  boost::algorithm::detail::is_any_ofF<char>::is_any_ofF(boost::algorithm::detail::is_any_ofF<char> const&)
  0.00     28.47     0.00   108361     0.00     0.00  geopop::geogrid_detail::KdTree2DPoint::InBox(geopop::AABBox<geopop::geogrid_detail::KdTree2DPoint> const&) const
  0.00     28.47     0.00   107856     0.00     0.00  std::char_traits<char>::length(char const*)
  0.00     28.47     0.00   107286     0.00     0.00  geopop::kd::Node<geopop::geogrid_detail::KdTree2DPoint, 1ul>::BorrowSplitChild(geopop::geogrid_detail::KdTree2DPoint const&) const
  0.00     28.47     0.00    99772     0.00     0.00  boost::property_tree::basic_ptree<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::less<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > >::basic_ptree()
  0.00     28.47     0.00    99765     0.00     0.00  boost::multi_index::detail::sequenced_index<boost::multi_index::detail::nth_layer<1, std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, boost::property_tree::basic_ptree<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::less<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > > >, boost::multi_index::indexed_by<boost::multi_index::sequenced<boost::multi_index::tag<mpl_::na, mpl_::na, mpl_::na, mpl_::na, mpl_::na, mpl_::na, mpl_::na, mpl_::na, mpl_::na, mpl_::na, mpl_::na, mpl_::na, mpl_::na, mpl_::na, mpl_::na, mpl_::na, mpl_::na, mpl_::na, mpl_::na, mpl_::na> >, boost::multi_index::ordered_non_unique<boost::multi_index::tag<boost::property_tree::basic_ptree<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::less<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > >::subs::by_name, mpl_::na, mpl_::na, mpl_::na, mpl_::na, mpl_::na, mpl_::na, mpl_::na, mpl_::na, mpl_::na, mpl_::na, mpl_::na, mpl_::na, mpl_::na, mpl_::na, mpl_::na, mpl_::na, mpl_::na, mpl_::na, mpl_::na>, boost::multi_index::member<std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, boost::property_tree::basic_ptree<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::less<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > > >, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, &std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, boost::property_tree::basic_ptree<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::less<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > > >::first>, std::less<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > >, mpl_::na, mpl_::na, mpl_::na, mpl_::na, mpl_::na, mpl_::na, mpl_::na, mpl_::na, mpl_::na, mpl_::na, mpl_::na, mpl_::na, mpl_::na, mpl_::na, mpl_::na, mpl_::na, mpl_::na, mpl_::na>, std::allocator<std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, boost::property_tree::basic_ptree<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::less<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > > > > >, boost::mpl::vector0<mpl_::na> >::insert(boost::multi_index::detail::bidir_node_iterator<boost::multi_index::detail::sequenced_index_node<boost::multi_index::detail::ordered_index_node<boost::multi_index::detail::null_augment_policy, boost::multi_index::detail::index_node_base<std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, boost::property_tree::basic_ptree<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::less<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > > >, std::allocator<std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, boost::property_tree::basic_ptree<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::less<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > > > > > > > >, std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, boost::property_tree::basic_ptree<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::less<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > > > const&)
  0.00     28.47     0.00    99765     0.00     0.00  boost::multi_index::detail::ordered_index_node_impl<boost::multi_index::detail::null_augment_policy, std::allocator<char> >::rebalance(boost::multi_index::detail::ordered_index_node_impl<boost::multi_index::detail::null_augment_policy, std::allocator<char> >*, boost::multi_index::detail::ordered_index_node_compressed_base<boost::multi_index::detail::null_augment_policy, std::allocator<char> >::parent_ref)
  0.00     28.47     0.00    99738     0.00     0.00  boost::property_tree::detail::rapidxml::xml_node<char>* boost::property_tree::detail::rapidxml::xml_document<char>::parse_node<3136>(char*&)
  0.00     28.47     0.00    99737     0.00     0.00  std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, boost::property_tree::basic_ptree<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::less<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > > >::~pair()
  0.00     28.47     0.00    99736     0.00     0.00  boost::property_tree::detail::rapidxml::xml_node<char>* boost::property_tree::detail::rapidxml::xml_document<char>::parse_element<3136>(char*&)
  0.00     28.47     0.00    97696     0.00     0.00  spdlog::details::file_helper::write(spdlog::details::log_msg const&)
  0.00     28.47     0.00    97177     0.00     0.00  spdlog::sinks::base_sink<std::mutex>::log(spdlog::details::log_msg const&)
  0.00     28.47     0.00    97177     0.00     0.00  spdlog::details::v_formatter::format(spdlog::details::log_msg&, tm const&)
  0.00     28.47     0.00    97167     0.00     0.00  stride::Health::StartInfection()
  0.00     28.47     0.00    96031     0.00     0.00  void fmt::BasicWriter<char>::write_str<char, fmt::FormatSpec>(fmt::internal::Value::StringValue<char> const&, fmt::FormatSpec const&)
  0.00     28.47     0.00    95967     0.00     0.00  (anonymous namespace)::LOG_POLICY<(stride::ContactLogMode::Id)1>::Trans(std::shared_ptr<spdlog::logger> const&, stride::Person const*, stride::Person const*, stride::ContactType::Id, unsigned short)
