"4292257948","1745979317","1252487303","1109255046","473442223","2089200541","945627814","3469548032","2028515702","817592592"
1001,1000,999,1000,1000,1000,998,1001,998,1000
1001,1000,999,1000,1000,1000,998,1001,998,1000
1001,1000,999,1000,1000,1000,998,1001,998,1000
1001,1000,999,1000,1000,1000,998,1001,998,1000
1001,1000,999,1000,1000,1000,998,1001,998,1000
1001,1000,999,1000,1000,1000,998,1001,998,1000
1001,1000,999,1000,1000,1000,998,1001,998,1000
1041,1030,1019,1033,1018,1026,1023,1040,1031,1046
1145,1149,1131,1142,1107,1148,1127,1161,1145,1180
1411,1413,1348,1421,1365,1394,1422,1399,1429,1483
1755,1738,1667,1779,1716,1696,1744,1719,1751,1855
2123,2120,2042,2209,2115,2062,2086,2116,2112,2222
2475,2514,2391,2575,2500,2415,2422,2561,2477,2566
2822,2843,2720,2865,2832,2768,2706,2870,2762,2890
2964,3001,2920,3033,2994,2962,2865,3001,2952,3036
3088,3119,3055,3186,3143,3111,2994,3122,3062,3141
3227,3243,3192,3335,3309,3288,3174,3261,3197,3304
3362,3381,3323,3461,3443,3386,3297,3371,3320,3429
3602,3604,3508,3696,3645,3595,3486,3559,3494,3645
3924,3866,3768,4006,3916,3860,3794,3866,3830,3968
4309,4281,4157,4422,4299,4240,4206,4311,4248,4476
4687,4616,4489,4819,4628,4588,4560,4683,4549,4889
5092,5099,4884,5236,5040,4989,4956,5111,4988,5326
5666,5824,5477,5796,5610,5602,5482,5796,5666,5934
6251,6475,6054,6385,6229,6214,6016,6411,6182,6424
6762,7040,6627,6958,6764,6765,6534,6958,6686,6930
7265,7517,7107,7470,7248,7305,6967,7409,7128,7406
7690,7942,7586,7939,7749,7808,7391,7854,7560,7879
8022,8317,7945,8289,8093,8129,7762,8203,7857,8210
8378,8674,8278,8618,8418,8447,8109,8559,8245,8596
8952,9275,8877,9215,8969,8996,8712,9082,8802,9206
9573,10028,9533,9878,9655,9656,9378,9794,9505,9899
10311,10817,10276,10637,10396,10406,10200,10594,10289,10763
11246,11687,11142,11466,11277,11319,10973,11513,11258,11644
12287,12844,12058,12419,12221,12309,11818,12489,12285,12637
12968,13567,12789,13124,12942,12977,12505,13200,13022,13333
13652,14311,13526,13827,13701,13742,13218,13945,13664,14018
14615,15418,14512,14801,14712,14827,14153,14990,14552,15012
15517,16454,15403,15802,15712,15775,15088,15900,15407,15880
16376,17443,16314,16733,16675,16738,16059,16878,16354,16777
17282,18484,17298,17743,17549,17690,17012,17831,17358,17838
18280,19617,18310,18713,18622,18779,18066,18851,18556,18901
19096,20539,19115,19570,19444,19617,18886,19700,19458,19747
20000,21514,20022,20442,20361,20518,19732,20599,20438,20632
21464,22972,21432,21927,21808,22038,21119,22026,21908,22094
22869,24380,22773,23379,23241,23408,22445,23361,23335,23580
24350,25853,24285,24855,24794,24837,23942,24851,24819,25082
25833,27514,25751,26358,26367,26391,25421,26325,26221,26643
27232,29027,27178,27944,27931,27924,26830,27875,27688,28097
28263,30132,28242,29044,29019,29053,27880,28999,28790,29143
29320,31297,29330,30152,30040,30132,28927,30042,29885,30167
