"692289710","1112876276","2717688823","2996818688","2854781130","4207295811","1528177229","2939623648","3173060181","3788947632"
200,199,200,200,199,200,199,200,199,199
200,199,200,200,199,200,199,200,199,199
200,199,200,200,199,200,199,200,199,199
200,199,200,200,199,200,199,200,199,199
200,199,200,200,199,200,199,200,199,199
200,199,200,200,199,200,199,200,199,199
200,199,200,200,199,200,199,200,199,199
207,200,201,202,208,206,203,205,210,203
222,218,216,219,228,224,238,225,238,231
252,257,267,299,274,279,289,270,292,306
315,322,321,371,359,366,368,325,375,365
400,405,411,436,449,481,450,407,458,430
482,493,476,517,508,558,546,476,512,505
566,551,554,587,559,596,602,535,571,587
599,594,593,618,586,624,625,574,593,637
624,618,626,631,613,646,644,604,620,660
641,651,649,659,649,675,673,629,669,682
660,667,674,687,664,698,695,651,693,715
680,683,707,731,719,747,729,699,732,744
753,728,762,804,773,817,773,739,804,805
826,788,835,892,848,912,853,804,874,897
889,880,894,967,943,974,934,871,954,971
985,966,970,1050,1024,1051,1037,956,1053,1061
1105,1091,1095,1168,1132,1176,1177,1087,1162,1203
1240,1199,1192,1298,1282,1290,1293,1194,1276,1326
1347,1305,1291,1431,1410,1417,1413,1298,1383,1427
1444,1410,1413,1515,1514,1523,1502,1389,1484,1529
1538,1493,1503,1598,1620,1615,1578,1476,1573,1627
1604,1557,1574,1650,1688,1708,1640,1524,1649,1690
1661,1619,1664,1708,1751,1776,1698,1595,1724,1756
1773,1716,1743,1844,1854,1917,1830,1694,1831,1883
1905,1830,1859,2024,1982,2062,1978,1805,1969,2001
2062,1949,2017,2170,2166,2229,2116,1933,2145,2166
2231,2123,2203,2352,2355,2385,2288,2107,2327,2336
2394,2319,2387,2568,2536,2590,2484,2298,2550,2559
2533,2448,2519,2687,2674,2726,2641,2415,2684,2707
2665,2607,2637,2844,2830,2915,2793,2543,2825,2855
2862,2804,2832,3030,3077,3125,2974,2716,2999,3045
3048,3000,3038,3203,3267,3322,3136,2896,3200,3214
3226,3168,3210,3387,3454,3505,3347,3107,3414,3420
3407,3335,3403,3603,3668,3700,3566,3266,3557,3598
3577,3502,3590,3840,3882,3904,3780,3424,3801,3813
3742,3656,3783,3996,4068,4080,3923,3566,3986,3972
3894,3813,3942,4158,4233,4271,4106,3720,4192,4168
4193,4070,4217,4415,4499,4594,4406,4007,4525,4451
4490,4318,4473,4731,4801,4887,4658,4312,4815,4718
4795,4597,4707,5032,5154,5178,4948,4611,5112,4996
5073,4922,4985,5320,5484,5469,5242,4932,5409,5302
5393,5199,5310,5661,5804,5781,5513,5221,5688,5595
5549,5415,5507,5874,6031,5984,5758,5438,5914,5813
5753,5603,5695,6087,6228,6178,5973,5635,6138,6019
