"1558208250","2932292506","234168244","1296842497","3644080389","4095512563","2349536751","2148266613","372996168","3986917711"
19,19,20,20,19,20,19,20,19,20
19,19,20,20,19,20,19,20,19,20
19,19,20,20,19,20,19,20,19,20
19,19,20,20,19,20,19,20,19,20
19,19,20,20,19,20,19,20,19,20
19,19,20,20,19,20,19,20,19,20
19,19,20,20,19,20,19,20,19,20
20,19,20,22,19,20,19,22,21,20
23,20,21,24,19,21,20,25,21,21
30,24,27,30,28,22,25,33,24,21
38,29,32,41,30,27,36,47,32,26
43,32,34,53,31,29,42,52,45,35
54,40,40,57,38,37,44,57,54,39
57,46,49,66,47,46,52,66,60,41
63,49,51,69,47,47,56,67,63,46
63,51,52,78,47,47,57,68,68,48
66,53,52,80,49,48,57,68,73,54
73,54,55,89,52,48,60,68,73,56
77,59,58,92,55,48,62,69,76,58
89,63,64,97,58,55,66,73,87,61
97,64,69,109,69,62,76,78,91,74
106,69,71,120,71,66,79,84,101,76
114,76,74,141,78,69,89,92,107,80
128,82,80,158,86,71,106,97,133,88
138,87,88,163,90,74,115,105,151,96
146,96,103,188,91,79,117,109,157,103
155,108,111,203,97,83,125,118,163,109
159,111,116,205,110,91,129,127,171,121
169,117,125,212,115,94,137,127,176,129
185,124,126,224,118,96,142,129,179,140
188,130,127,236,121,104,153,138,193,147
193,138,132,243,134,110,163,142,202,157
218,142,144,252,146,116,179,151,219,170
236,151,152,268,157,124,187,161,240,193
254,158,166,292,168,132,198,171,261,212
271,168,180,317,175,135,210,172,269,214
285,171,196,335,186,143,216,182,273,218
294,184,211,364,190,146,232,210,299,233
312,198,222,384,205,154,252,231,318,251
335,205,229,401,218,161,265,235,343,280
366,225,243,420,235,169,283,243,357,299
379,240,254,444,247,182,299,251,379,312
390,246,267,457,260,186,309,257,387,326
407,258,272,465,265,196,325,258,395,344
441,267,286,496,277,213,342,270,418,368
458,284,305,520,299,230,369,287,442,385
491,308,326,543,315,247,398,309,453,404
512,317,345,571,338,258,408,325,483,430
538,336,369,605,360,265,432,357,503,453
564,353,388,636,376,269,448,363,511,476
589,363,406,657,382,274,453,374,522,489
