"666112174","601086091","254858163","4010185279","22338627","3572205289","2474173750","3992192823","3082240195","2062141660"
100,99,99,100,100,100,99,99,99,99
100,99,99,100,100,100,99,99,99,99
100,99,99,100,100,100,99,99,99,99
100,99,99,100,100,100,99,99,99,99
100,99,99,100,100,100,99,99,99,99
100,99,99,100,100,100,99,99,99,99
100,99,99,100,100,100,99,99,99,99
102,103,101,104,106,111,99,100,105,105
109,112,114,115,112,118,108,104,117,114
135,134,134,151,136,146,137,142,139,145
160,169,171,176,170,173,163,186,176,185
203,199,207,210,214,197,225,223,217,216
233,226,239,247,266,241,273,248,269,266
264,263,264,281,293,276,310,271,294,293
284,287,281,289,308,298,323,284,306,306
310,306,294,305,322,315,334,292,314,314
326,324,311,316,334,335,343,303,327,325
336,334,319,330,345,342,345,311,342,332
354,355,330,362,364,363,362,331,379,352
378,390,357,381,392,381,398,369,427,375
409,433,403,428,442,420,429,414,477,422
444,470,431,465,482,449,468,444,511,453
469,504,456,496,535,491,512,481,567,496
525,553,499,531,593,551,625,534,615,546
590,616,556,573,671,622,682,565,679,601
638,693,612,628,728,669,726,603,726,652
681,725,655,685,772,724,767,647,760,699
725,758,693,719,833,762,808,693,805,733
757,782,731,754,858,797,842,717,847,760
786,803,765,792,899,836,866,757,900,792
820,865,807,836,959,896,930,823,960,843
865,924,873,899,1024,952,1001,893,1021,889
956,997,919,997,1121,1055,1066,968,1111,960
1031,1084,987,1072,1232,1127,1166,1072,1196,1053
1121,1186,1066,1143,1319,1204,1283,1143,1310,1149
1184,1266,1127,1212,1384,1278,1363,1193,1368,1215
1241,1330,1185,1288,1473,1342,1423,1237,1431,1269
1326,1436,1278,1371,1576,1430,1538,1321,1540,1383
1415,1509,1364,1435,1677,1536,1640,1398,1640,1464
1492,1592,1452,1506,1781,1636,1738,1482,1732,1546
1604,1705,1521,1593,1868,1739,1816,1593,1839,1621
1707,1808,1589,1674,1979,1839,1895,1706,1948,1705
1780,1882,1660,1747,2065,1936,1970,1789,2030,1791
1859,1963,1740,1831,2176,2025,2060,1869,2116,1880
1996,2091,1896,1977,2294,2196,2232,1986,2247,2029
2113,2200,2008,2136,2463,2316,2346,2106,2366,2168
2228,2324,2115,2266,2606,2448,2533,2218,2488,2297
2370,2485,2234,2392,2775,2554,2697,2352,2629,2429
2516,2631,2360,2539,2944,2706,2854,2458,2766,2544
2620,2759,2459,2649,3039,2809,2961,2557,2881,2633
2739,2861,2547,2738,3144,2900,3049,2662,3002,2741
