"2420336655","1453963498","687319041","2128286085","3322025074","2588101307","3763173607","3635061050","2370137616","3959720796"
19,20,20,19,20,20,20,20,19,19
19,20,20,19,20,20,20,20,19,19
19,20,20,19,20,20,20,20,19,19
19,20,20,19,20,20,20,20,19,19
19,20,20,19,20,20,20,20,19,19
19,20,20,19,20,20,20,20,19,19
19,20,20,19,20,20,20,20,19,19
19,22,21,19,20,20,20,20,20,19
23,25,22,19,22,23,20,24,26,22
33,27,26,25,23,26,22,28,31,31
43,29,33,27,28,33,29,31,37,34
48,48,41,35,41,43,34,38,44,41
54,59,43,50,45,44,43,41,52,49
59,67,48,57,52,49,48,48,53,53
62,69,48,59,52,56,49,51,56,56
66,71,49,62,53,58,52,53,58,59
67,71,52,62,57,60,52,53,59,60
73,77,52,62,58,60,52,53,60,63
76,82,54,65,59,61,57,55,62,68
82,85,61,69,66,64,60,57,66,72
87,94,66,81,74,70,65,62,71,81
95,96,67,87,75,72,70,68,76,84
100,106,71,98,81,78,76,78,82,89
117,122,72,106,95,96,82,89,109,100
126,133,75,123,101,115,95,98,126,106
131,141,84,129,106,119,102,105,130,117
140,147,94,146,109,134,110,113,133,122
146,154,95,151,109,140,117,120,135,127
153,159,101,152,110,141,121,120,137,128
158,171,104,159,115,145,125,125,137,133
166,178,117,168,134,150,125,129,149,147
176,185,119,181,144,153,130,142,158,155
193,199,124,195,159,159,149,158,165,163
203,209,129,217,169,163,162,176,183,165
217,224,147,225,179,190,169,201,209,177
228,241,153,231,183,213,175,209,217,180
245,259,160,246,191,219,183,214,220,186
261,274,173,269,206,232,196,226,236,191
274,296,180,283,215,250,209,236,252,196
281,312,187,290,224,266,221,252,265,212
290,327,191,302,234,271,225,274,272,217
299,335,199,322,243,282,243,292,283,222
305,348,206,333,258,293,253,304,295,226
321,358,213,348,273,306,269,314,305,234
349,379,230,372,294,341,286,332,324,251
362,399,244,397,310,354,298,359,338,260
390,421,253,419,336,371,317,373,365,266
418,441,261,436,345,393,336,393,391,271
441,473,275,458,359,404,351,405,410,279
461,509,298,478,367,429,365,416,422,286
463,529,301,493,372,437,379,440,425,296
