"2647271302","3218409620","2483787642","2981471155","694875862","2074794807","2698751123","4293215961","2567177902","438400198"
200,200,200,199,199,199,199,200,200,200
200,200,200,199,199,199,199,200,200,200
200,200,200,199,199,199,199,200,200,200
200,200,200,199,199,199,199,200,200,200
200,200,200,199,199,199,199,200,200,200
200,200,200,199,199,199,199,200,200,200
200,200,200,199,199,199,199,200,200,200
202,208,206,206,201,202,209,203,202,204
212,220,224,228,212,222,228,228,226,217
258,281,317,277,263,275,292,265,270,272
341,380,394,324,327,329,354,318,320,348
397,447,461,403,406,410,438,412,408,425
461,512,520,479,483,475,506,510,480,512
496,570,583,540,569,550,567,571,551,584
543,599,618,580,611,588,598,587,577,611
567,627,639,608,632,617,628,613,604,626
600,658,670,641,658,644,653,639,619,649
612,682,705,669,678,659,679,656,649,670
643,721,762,715,721,701,717,695,676,711
696,786,850,774,779,761,801,747,733,776
762,875,931,861,879,843,873,820,823,873
811,947,1009,915,972,923,926,903,889,940
899,1032,1087,971,1028,1010,1001,982,979,1014
1022,1191,1199,1069,1153,1147,1133,1113,1097,1142
1132,1300,1302,1155,1278,1302,1242,1253,1202,1269
1222,1411,1397,1255,1392,1419,1361,1373,1287,1368
1288,1508,1491,1360,1516,1477,1471,1468,1398,1462
1374,1573,1580,1493,1609,1550,1562,1562,1488,1556
1440,1638,1663,1558,1673,1603,1627,1630,1544,1612
1511,1713,1779,1623,1750,1682,1687,1686,1603,1687
1625,1844,1923,1700,1896,1806,1800,1789,1710,1815
1739,1966,2076,1822,2019,1935,1901,1955,1818,1945
1870,2128,2195,1942,2203,2128,2042,2135,1963,2121
2022,2311,2365,2078,2368,2334,2215,2296,2153,2312
2161,2503,2578,2216,2554,2577,2395,2507,2321,2515
2283,2653,2698,2348,2713,2713,2531,2651,2458,2655
2426,2790,2822,2483,2864,2861,2654,2801,2599,2800
2586,2979,3056,2679,3096,3084,2899,2991,2797,2976
2765,3167,3247,2885,3283,3249,3074,3166,2942,3170
2933,3372,3439,3085,3449,3421,3275,3340,3098,3391
3083,3591,3631,3282,3659,3648,3462,3558,3284,3554
3253,3796,3818,3512,3875,3879,3669,3805,3485,3743
3408,3961,3961,3678,4032,4019,3806,3972,3674,3871
3562,4136,4146,3821,4222,4186,3983,4178,3811,4093
3792,4441,4436,4028,4488,4491,4222,4473,4092,4394
4033,4686,4729,4250,4772,4791,4479,4741,4376,4694
4291,4987,4983,4480,5076,5108,4785,5028,4670,4995
4580,5287,5236,4736,5367,5401,5079,5308,4938,5289
4841,5608,5550,5036,5616,5746,5388,5615,5183,5564
5036,5810,5766,5252,5830,5996,5605,5877,5381,5778
5206,6026,6003,5537,6027,6236,5811,6119,5581,6000
