"2109202929","371065659","1856089945","2172961851","3280649852","228498727","4247218611","2392440962","3574741167","2594098720"
19,20,20,19,20,19,20,20,20,19
19,20,20,19,20,19,20,20,20,19
19,20,20,19,20,19,20,20,20,19
19,20,20,19,20,19,20,20,20,19
19,20,20,19,20,19,20,20,20,19
19,20,20,19,20,19,20,20,20,19
19,20,20,19,20,19,20,20,20,19
19,20,20,19,21,19,20,20,21,19
19,20,21,21,21,19,20,26,26,19
21,22,23,26,27,26,26,35,27,29
23,31,32,33,37,30,35,39,33,38
26,39,40,37,40,33,43,39,41,48
40,47,54,42,46,43,45,46,46,55
44,58,55,46,51,46,47,55,48,56
46,62,56,49,52,46,48,58,49,57
49,65,56,51,54,47,51,60,52,59
50,71,57,52,57,47,55,60,52,60
51,76,57,59,62,49,57,67,52,61
54,81,57,61,65,49,59,72,58,65
55,86,65,61,68,51,63,77,63,68
57,88,69,63,77,52,70,80,73,72
60,92,73,66,79,63,77,90,85,76
63,100,84,81,83,70,91,93,89,82
70,110,94,93,89,76,99,111,97,88
74,124,107,102,99,88,115,121,102,103
78,135,114,107,101,94,120,126,103,112
83,144,121,113,109,95,126,129,110,122
87,160,125,117,117,95,131,139,112,126
96,167,127,123,119,99,131,148,119,128
103,176,131,126,126,102,131,155,130,131
105,184,146,137,135,104,138,162,141,133
107,198,155,147,144,114,155,172,149,149
114,210,170,165,149,120,172,186,162,164
125,223,201,181,167,136,183,215,180,182
134,236,219,205,175,152,200,230,193,195
140,256,229,218,181,156,214,238,199,203
145,263,233,226,184,161,220,250,204,208
150,281,241,234,199,171,240,266,214,220
166,297,256,243,206,175,248,294,227,231
172,314,266,251,212,186,255,307,237,241
178,350,282,264,231,193,265,322,253,248
192,368,294,284,243,206,277,339,274,255
203,386,307,296,247,217,287,352,289,266
220,391,320,303,259,221,298,365,312,271
240,406,352,334,269,239,317,394,335,295
249,424,396,352,288,256,339,415,360,318
258,450,411,369,305,273,364,438,379,335
273,479,448,386,315,295,395,467,390,354
283,504,473,410,327,306,413,501,404,374
294,527,499,427,339,312,429,518,428,389
307,553,513,450,356,319,439,532,437,398
