"865780107","1436243804","750252268","3333392498","2802784324","2749655397","1123720637","802415983","3548217478","2492974293"
1001,999,997,1001,999,1000,1001,999,998,999
1001,999,997,1001,999,1000,1001,999,998,999
1001,999,997,1001,999,1000,1001,999,998,999
1001,999,997,1001,999,1000,1001,999,998,999
1001,999,997,1001,999,1000,1001,999,998,999
1001,999,997,1001,999,1000,1001,999,998,999
1001,999,997,1001,999,1000,1001,999,998,999
1047,1039,1028,1025,1035,1026,1019,1028,1030,1030
1148,1148,1121,1123,1168,1152,1136,1092,1128,1141
1385,1404,1392,1376,1458,1431,1441,1324,1383,1395
1787,1767,1733,1727,1760,1759,1753,1690,1750,1719
2151,2155,2070,2099,2181,2149,2123,2087,2135,2142
2543,2498,2432,2517,2555,2514,2491,2408,2473,2503
2905,2847,2754,2849,2835,2842,2814,2766,2822,2771
3089,3007,2935,3017,3002,3003,3007,2925,2998,2910
3205,3132,3072,3157,3140,3148,3126,3072,3150,3039
3342,3272,3240,3296,3299,3315,3284,3219,3283,3174
3467,3404,3367,3457,3427,3438,3433,3335,3394,3293
3697,3630,3561,3657,3608,3632,3659,3517,3592,3491
4022,3971,3841,3943,3911,3965,3987,3765,3850,3779
4530,4339,4213,4381,4318,4353,4412,4140,4271,4219
4898,4693,4580,4763,4687,4709,4794,4477,4668,4620
5322,5109,4970,5171,5096,5131,5203,4864,5141,4982
5944,5735,5556,5802,5762,5755,5819,5465,5824,5592
6542,6329,6219,6418,6340,6286,6448,6053,6411,6160
7069,6829,6734,6963,6889,6827,7040,6596,6974,6701
7576,7299,7216,7497,7364,7304,7486,7094,7428,7111
7988,7771,7705,7976,7768,7764,7922,7466,7881,7561
8342,8122,8024,8297,8070,8117,8277,7789,8260,7897
8710,8504,8340,8702,8446,8457,8686,8122,8604,8272
9407,9131,8953,9336,9094,9035,9327,8729,9226,8858
10110,9840,9636,10050,9782,9716,10043,9350,9894,9533
10927,10606,10364,10814,10561,10482,10801,10096,10764,10300
11872,11519,11243,11567,11498,11415,11751,11003,11726,11170
12852,12498,12201,12502,12519,12333,12803,12030,12737,12142
13592,13254,12881,13239,13248,13036,13486,12714,13406,12806
14314,13989,13632,14050,13929,13763,14194,13404,14132,13444
15270,14973,14665,15138,14898,14814,15244,14373,15152,14469
16317,15929,15608,16197,15812,15811,16278,15282,16164,15325
17340,16977,16630,17181,16758,16748,17303,16204,17206,16246
18287,17985,17541,18218,17713,17698,18320,17121,18244,17275
19389,19029,18620,19289,18795,18804,19509,18230,19268,18404
20275,19789,19478,20126,19697,19647,20375,19035,20156,19240
21228,20762,20362,20969,20661,20608,21252,19902,21152,20148
22620,22198,21679,22468,22112,22076,22661,21260,22706,21615
24138,23702,23030,23892,23590,23553,24139,22695,24102,23036
25592,25177,24465,25344,25037,25036,25704,24175,25508,24568
27169,26629,25919,26876,26507,26513,27228,25620,27061,26071
28696,28175,27483,28438,27982,28032,28731,27125,28524,27448
29842,29230,28648,29527,28956,29100,29875,28219,29669,28503
31020,30312,29776,30681,29969,30166,31047,29260,30860,29536
